,Age,Yes,No,Don't Know,Other
0,24,0.7979337587359465,0.17471893041628683,0.02035855363111516,0.006988757216651474
0,25,0.8060363959165557,0.16378162450066577,0.020417221482467822,0.009764758100310697
0,26,0.8099112256355782,0.1592880480880002,0.020482437514409868,0.010318288762011739
0,27,0.8137860553546006,0.15479447167533464,0.020547653546351914,0.01087181942371278
0,28,0.8176608850736231,0.15030089526266907,0.020612869578293957,0.011425350085413821
0,29,0.8215357147926456,0.1458073188500035,0.020678085610236,0.011978880747114862
0,30,0.8254105445116681,0.14131374243733794,0.020743301642178046,0.012532411408815903
0,31,0.8301342608520529,0.13771118812462763,0.020963573352577387,0.011190977670742043
0,32,0.8348579771924377,0.13410863381191732,0.021183845062976728,0.009849543932668183
0,33,0.8395816935328225,0.130506079499207,0.021404116773376072,0.008508110194594323
0,34,0.8443054098732075,0.12690352518649672,0.021624388483775417,0.007166676456520462
0,35,0.8490291262135923,0.12330097087378641,0.021844660194174758,0.005825242718446602
0,36,0.8560348951737724,0.11822795280794438,0.01984726965731609,0.0058898823609672074
0,37,0.8630406641339525,0.11315493474210234,0.017849879120457424,0.005954522003487813
0,38,0.8700464330941327,0.10808191667626028,0.015852488583598758,0.006019161646008417
0,39,0.8770522020543128,0.10300889861041823,0.01385509804674009,0.006083801288529022
0,40,0.8840579710144928,0.09793588054457619,0.011857707509881422,0.006148440931049627
0,41,0.8886472474091407,0.09362373411512277,0.011939668184399004,0.005789350291337525
0,42,0.8932365238037887,0.08931158768566935,0.012021628858916585,0.005430259651625423
0,43,0.8978258001984366,0.08499944125621592,0.012103589533434166,0.0050711690119133205
0,44,0.9024150765930845,0.08068729482676248,0.01218555020795175,0.004712078372201219
0,45,0.9070043529877325,0.07637514839730906,0.01226751088246933,0.004352987732489117
0,46,0.9089932086282666,0.07420377913002812,0.012520868133843812,0.004282144107861488
0,47,0.9109820642688007,0.07203240986274717,0.012774225385218295,0.004211300483233859
0,48,0.9129709199093348,0.06986104059546623,0.013027582636592776,0.0041404568586062285
0,49,0.9149597755498688,0.06768967132818529,0.013280939887967257,0.004069613233978598
0,50,0.9169486311904029,0.06551830206090434,0.01353429713934174,0.003998769609350969
0,51,0.9139080040514215,0.06761734435142618,0.014431041315076996,0.00404361028207537
0,52,0.91086737691244,0.06971638664194801,0.015327785490812252,0.004088450954799771
0,53,0.9078267497734586,0.07181542893246985,0.016224529666547506,0.004133291627524171
0,54,0.9047861226344771,0.07391447122299169,0.017121273842282764,0.004178132300248572
0,55,0.9017454954954955,0.07601351351351351,0.018018018018018018,0.004222972972972973
0,56,0.9029022652770148,0.07460983743548874,0.017792599355725608,0.004695297931770878
0,57,0.904059035058534,0.07320616135746397,0.017567180693433198,0.005167622890568782
0,58,0.9052158048400533,0.0718024852794392,0.017341762031140788,0.0056399478493666865
0,59,0.9063725746215725,0.07039880920141442,0.017116343368848378,0.006112272808164591
0,60,0.9075293444030919,0.06899513312338963,0.016890924706555968,0.006584597766962496
0,61,0.9044152793101171,0.0721473638721982,0.01705201328278591,0.006385343534898777
0,62,0.9013012142171424,0.07529959462100677,0.017213101859015853,0.006186089302835058
0,63,0.8981871491241675,0.07845182536981533,0.017374190435245795,0.005986835070771339
0,64,0.8950730840311927,0.0816040561186239,0.017535279011475738,0.0057875808387076195
0,65,0.8919590189382179,0.08475628686743247,0.01769636758770568,0.005588326606643899
0,66,0.8932996837359006,0.0830462131177806,0.018048460101781894,0.005605643044536846
0,67,0.8946403485335833,0.08133613936812872,0.018400552615858108,0.005622959482429793
0,68,0.895981013331266,0.07962606561847685,0.018752645129934322,0.00564027592032274
0,69,0.8973216781289488,0.07791599186882497,0.019104737644010536,0.0056575923582156875
0,70,0.8986623429266315,0.07620591811917309,0.019456830158086746,0.005674908796108634
0,71,0.9012675366789675,0.0746010981317021,0.018942087503092772,0.005189277686237556
0,72,0.9038727304313036,0.07299627814423112,0.018427344848098798,0.004703646576366479
0,73,0.9064779241836396,0.07139145815676014,0.017912602193104827,0.004218015466495402
0,74,0.9090831179359756,0.06978663816928915,0.017397859538110856,0.0037323843566243243
0,75,0.9116883116883117,0.06818181818181818,0.016883116883116882,0.003246753246753247
0,76,0.9113220057112222,0.06785632227923719,0.016539349445836387,0.004282322563704198
0,77,0.9109556997341328,0.0675308263766562,0.016195582008555892,0.0053178918806551494
0,78,0.9105893937570433,0.0672053304740752,0.015851814571275397,0.0063534611976061
0,79,0.9102230877799538,0.06687983457149421,0.015508047133994902,0.007389030514557051
0,80,0.9098567818028643,0.06655433866891322,0.015164279696714406,0.008424599831508003
0,81,0.9083885700963795,0.06582208728733184,0.01747733570705706,0.00831200690923156
0,82,0.9069203583898947,0.06508983590575046,0.019790391717399713,0.008199413986955117
0,83,0.9054521466834099,0.06435758452416906,0.022103447727742368,0.008086821064678673
0,84,0.9039839349769251,0.06362533314258767,0.024416503738085023,0.007974228142402229
0,85,0.9025157232704403,0.06289308176100629,0.026729559748427674,0.007861635220125786
0,86,0.8988241728192508,0.06625649439431228,0.02573147388569866,0.00918785890073831
0,87,0.8951326223680612,0.06961990702761826,0.02473338802296965,0.010514082581350835
0,88,0.8914410719168717,0.07298331966092425,0.023735302160240637,0.011840306261963359
0,89,0.8877495214656823,0.07634673229423024,0.022737216297511624,0.013166529942575882
0,90,0.8840579710144928,0.07971014492753623,0.021739130434782608,0.014492753623188406
