,Age,Religious Teaching and Beliefs,Philosophy and Reason,Practical Experience and Common Sense,Scientific Information,Don't Know
0,24,0.238529322394409,0.1671224551807961,0.4533576420540869,0.1224551807961106,0.018535399574597388
0,25,0.23213493120284065,0.14957833999112294,0.47492232578783844,0.12028406569019086,0.0230803373280071
0,26,0.24249273320773493,0.14550536862211183,0.4696526402326908,0.11982275817013022,0.022526499767332214
0,27,0.2528505352126292,0.14143239725310072,0.4643829546775432,0.11936145065006958,0.021972662206657327
0,28,0.26320833721752346,0.13735942588408961,0.45911326912239553,0.11890014313000893,0.02141882464598244
0,29,0.27356613922241774,0.13328645451507853,0.45384358356724785,0.11843883560994828,0.020864987085307554
0,30,0.283923941227312,0.12921348314606743,0.44857389801210024,0.11797752808988764,0.02031114952463267
0,31,0.2859741044381603,0.127254281662485,0.4478882446232724,0.11807134286025962,0.02081202641582264
0,32,0.28802426764900857,0.1252950801789026,0.4472025912344446,0.11816515763063161,0.02131290330701261
0,33,0.29007443085985685,0.12333587869532017,0.4465169378456168,0.1182589724010036,0.02181378019820258
0,34,0.2921245940707051,0.12137667721173775,0.445831284456789,0.11835278717137558,0.02231465708939255
0,35,0.2941747572815534,0.11941747572815534,0.4451456310679612,0.11844660194174757,0.022815533980582524
0,36,0.3012159586579173,0.11740486332297223,0.4420190081481766,0.11557414584852321,0.023786024022410684
0,37,0.30825716003428116,0.11539225091778912,0.43889238522839197,0.11270168975529887,0.024756514064238844
0,38,0.31529836141064504,0.11337963851260602,0.43576576230860736,0.10982923366207452,0.025727004106067004
0,39,0.3223395627870089,0.11136702610742291,0.4326391393888228,0.10695677756885016,0.026697494147895164
0,40,0.32938076416337286,0.10935441370223979,0.4295125164690382,0.10408432147562582,0.02766798418972332
0,41,0.3295908796330331,0.10885274346673841,0.4324901081495084,0.10178744135145436,0.027278827399265796
0,42,0.3298009951026933,0.10835107323123704,0.43546769982997857,0.09949056122728289,0.026889670608808272
0,43,0.3300111105723535,0.10784940299573566,0.4384452915104487,0.09719368110311143,0.026500513818350745
0,44,0.3302212260420137,0.10734773276023427,0.4414228831909188,0.09489680097893996,0.026111357027893217
0,45,0.3304313415116739,0.10684606252473289,0.444400474871389,0.0925999208547685,0.025722200237435693
0,46,0.3371226800995268,0.1046094246122194,0.44238595971870454,0.09007501512121867,0.025806920448330592
0,47,0.3438140186873796,0.10237278669970593,0.44037144456602006,0.08755010938766884,0.025891640659225487
0,48,0.35050535727523247,0.10013614878719244,0.43835692941333565,0.08502520365411902,0.025976360870120386
0,49,0.35719669586308533,0.09789951087467896,0.43634241426065123,0.0825002979205692,0.026061081081015285
0,50,0.36388803445093815,0.09566287296216548,0.43432789910796676,0.07997539218701938,0.02614580129191018
0,51,0.36639195909228206,0.09668795602739004,0.4310771841512383,0.0791830164523182,0.02665988427677139
0,52,0.368895883733626,0.0977130390926146,0.42782646919450984,0.07839064071761703,0.027173967261632598
0,53,0.3713998083749699,0.09873812215783916,0.4245757542377813,0.07759826498291586,0.027688050246493803
0,54,0.37390373301631374,0.09976320522306373,0.4213250392810528,0.07680588924821469,0.02820213323135501
0,55,0.37640765765765766,0.10078828828828829,0.41807432432432434,0.07601351351351351,0.028716216216216218
0,56,0.37332767207516704,0.10193037297245713,0.4190285977360126,0.07667110282340743,0.029042254392955796
0,57,0.3702476864926765,0.10307245765662598,0.41998287114770083,0.07732869213330135,0.029368292569695375
0,58,0.36716770091018586,0.10421454234079484,0.4209371445593891,0.07798628144319526,0.029694330746434953
0,59,0.36408771532769524,0.1053566270249637,0.4218914179710773,0.07864387075308918,0.030020368923174535
0,60,0.3610077297452047,0.10649871170913255,0.4228456913827655,0.07930146006298311,0.030346407099914114
0,61,0.36077141198616686,0.1042613723477469,0.42564072572341205,0.0793368526203958,0.029989637322278388
0,62,0.36053509422712904,0.10202403298636126,0.4284357600640586,0.0793722451778085,0.02963286754464266
0,63,0.3602987764680912,0.0997866936249756,0.43123079440470513,0.07940763773522119,0.029276097767006935
0,64,0.3600624587090534,0.09754935426358993,0.43402582874535167,0.07944303029263389,0.02891932798937121
0,65,0.3598261409500155,0.09531201490220428,0.43682086308599816,0.07947842285004657,0.028562558211735485
0,66,0.3649586022614312,0.09586858233116756,0.43101323688144544,0.07817536089860232,0.029984217627353527
0,67,0.3700910635728468,0.09642514976013083,0.4252056106768928,0.07687229894715807,0.03140587704297157
0,68,0.3752235248842624,0.09698171718909411,0.41939798447234006,0.07556923699571381,0.032827536458589615
0,69,0.380355986195678,0.09753828461805739,0.41359035826778734,0.07426617504426955,0.03424919587420766
0,70,0.38548844750709366,0.09809485204702068,0.4077827320632347,0.0729631130928253,0.0356708552898257
0,71,0.38852062813554505,0.0948395180012529,0.40804436746876954,0.07226659437036413,0.03632889202406835
0,72,0.39155280876399645,0.09158418395548512,0.4083060028743044,0.07157007564790296,0.036986928758311007
0,73,0.39458498939244785,0.08832884990971736,0.40856763827983933,0.0708735569254418,0.03764496549255366
0,74,0.39761717002089925,0.0850735158639496,0.40882927368537425,0.07017703820298063,0.03830300222679631
0,75,0.40064935064935064,0.08181818181818182,0.4090909090909091,0.06948051948051948,0.03896103896103896
0,76,0.4007216709154367,0.0812927931377805,0.40899134563835493,0.0694007593080887,0.03959343100033917
0,77,0.40079399118152276,0.08076740445737918,0.40889178218580075,0.06932099913565792,0.04022582303963938
0,78,0.4008663114476088,0.08024201577697786,0.40879221873324656,0.06924123896322716,0.040858215078939594
0,79,0.4009386317136949,0.07971662709657654,0.4086926552806924,0.0691614787907964,0.041490607118239806
0,80,0.401010951979781,0.07919123841617523,0.4085930918281382,0.06908171861836562,0.04212299915754002
0,81,0.39816725214986254,0.07656053790275151,0.41178013383986906,0.06784399124689376,0.04564808486062321
0,82,0.3953235523199441,0.07392983738932779,0.4149671758515999,0.0666062638754219,0.0491731705637064
0,83,0.39247985249002565,0.07129913687590406,0.4181542178633308,0.06536853650395003,0.052698256266789596
0,84,0.3896361526601072,0.06866843636248032,0.42134125987506166,0.06413080913247815,0.05622334196987279
0,85,0.3867924528301887,0.0660377358490566,0.42452830188679247,0.06289308176100629,0.059748427672955975
0,86,0.37972381733661476,0.06659830462127427,0.4294777139732021,0.06625649439431228,0.057943669674596666
0,87,0.3726551818430408,0.06715887339349193,0.43442712605961176,0.06961990702761826,0.05613891167623736
0,88,0.3655865463494668,0.06771944216570959,0.43937653814602134,0.07298331966092425,0.05433415367787805
0,89,0.3585179108558928,0.06828001093792727,0.44432595023243093,0.07634673229423024,0.05252939567951874
0,90,0.35144927536231885,0.06884057971014493,0.4492753623188406,0.07971014492753623,0.050724637681159424
